run_i,run_j,jaccard_success_set
1,2,0.8
1,3,0.8333333333333334
1,4,0.8
1,5,0.8
2,3,0.6666666666666666
2,4,1.0
2,5,1.0
3,4,0.6666666666666666
3,5,0.6666666666666666
4,5,1.0
